country,latitude,longitude
Afghanistan,34.69438286,67.15228
Albania,41.09275526,20.01074474
Algeria,35.37388954,3.373378165
American Samoa,-14.274,-170.7046
Andorra,42.52515714,1.537457143
Angola,-10.77368662,15.62064507
Anguilla,18.2208,-63.0517
Antigua and Barbuda,17.1167,-61.85
Argentina,-33.26435273,-61.88234303
Armenia,40.32697222,44.79483333
Aruba,12.5302,-70.0289
Australia,-30.39661058,141.8791325
Austria,47.66632136,14.23116796
Azerbaijan,40.26277823,47.95630161
"Bahamas, The",26.201275,-78.41335
Bahrain,26.18001,50.53834
Bangladesh,23.68505,90.33906346
Barbados,13.0975,-59.6167
Belarus,53.40599677,27.83706882
Belgium,50.87137531,4.394823426
Belize,17.42155,-88.496075
Benin,8.401873913,2.251604348
Bermuda,32.293,-64.782
Bhutan,27.27334545,90.30903182
Bolivia,-17.34635922,-65.25782621
"Bonaire, Sint Eustatius, and Saba",15.75126667,-64.8327
Bosnia and Herzegovina,44.20410676,18.04439595
Botswana,-22.81035946,25.32148378
Brazil,-15.5821351,-45.37569401
Brunei,4.766366667,114.6998667
Bulgaria,42.72294194,25.18869892
Burkina Faso,12.10645325,-1.88602987
Burma,19.76583651,95.92537937
Burundi,-3.32108,29.789585
Cabo Verde,15.74308261,-24.05278261
Cambodia,12.28956563,104.7031688
Cameroon,5.885308046,11.69888391
Canada,46.71177402,-86.28840041
Cayman Islands,19.2866,-81.3744
Central African Republic,5.728752632,19.55546053
Chad,12.27576444,17.59197111
Chile,-35.16330514,-71.66730356
China,32.55111846,111.2471608
Christmas Island,-10.4261,105.6728
Colombia,5.858876276,-74.97518897
Comoros,-12.03235556,44.00292222
Congo (Brazzaville),-2.184313333,14.35872333
Congo (Kinshasa),-3.276712097,23.00587177
Cook Islands,-21.207,-159.771
Costa Rica,9.994550962,-84.12948365
Croatia,45.147644,16.33542533
Cuba,21.87198,-79.48994788
Curaçao,12.108,-68.935
Cyprus,34.92322143,33.30432143
Czechia,49.89234747,15.57696266
Côte d’Ivoire,6.83801194,-5.468349254
Denmark,55.91791948,10.78267013
Djibouti,11.52075714,42.76317143
Dominica,15.3014,-61.3883
Dominican Republic,18.98987123,-70.45014041
Ecuador,-1.526666972,-79.70196789
Egypt,29.32109834,31.30151271
El Salvador,13.70683446,-88.96479324
Equatorial Guinea,1.95520625,9.7836625
Eritrea,14.882375,39.16583125
Estonia,58.83645,25.68079
Eswatini,-26.6322,31.4150125
Ethiopia,9.339028966,39.09677793
Falkland Islands (Islas Malvinas),-51.7,-57.85
Faroe Islands,61.96133793,-6.808327586
Fiji,-17.76437778,178.1500778
Finland,61.99525852,24.87681556
France,47.19877274,2.675533247
French Guiana,5.013071429,-52.76177143
French Polynesia,-17.5334,-149.5667
Gabon,-0.691547619,11.22860952
"Gambia, The",13.41442105,-15.84791579
Gaza Strip,31.4131,34.37745556
Georgia,42.004108,43.387548
Germany,50.65991483,9.544181797
Ghana,6.876056977,-0.913863953
Gibraltar,36.14,-5.35
Greece,38.68907725,23.37081852
Greenland,69.46759545,-49.11385
Grenada,12.0472,-61.7153
Guadeloupe,16.12575,-61.6193
Guam,13.47185,144.7418
Guatemala,14.89790569,-90.83122876
Guernsey,49.4687,-2.53895
Guinea,10.3626875,-11.49775
Guinea-Bissau,11.92185,-15.23688571
Guyana,6.185891667,-58.41545
Haiti,18.92527258,-72.79901129
